ANNEE,channel_name,male_duration,female_duration
2018,NRJ,2289361,788176
2018,NRJ 12,3438300,1877137
2018,Paris Première,1694535,526530
2018,Planète+,2013791,475149
2018,Radio Classique,1594247,910651
2018,RFI,6046376,2998556
2018,RFM,1155814,617332
2018,Rire et Chansons,4839996,1719466
2018,RMC,7935539,1577283
2018,RTL,5837643,2459175
2018,RTL 2,1015121,806105
2018,Skyrock,2759366,506528
2018,Sud Radio,5739368,2801082
2018,TF1,3258465,2014743
2018,Toute l'Histoire,2162871,473006
2018,TV Breizh,1519168,711319
2018,TV5 Monde,1726992,933227
2018,Virgin Radio,1849363,590290
2019,Animaux,1310231,821350
2019,ARTE,1448996,707776
2019,BFM TV,1749685,910678
2019,Canal+,1628037,478149
2019,Canal+ Sport,2507609,135782
2019,Chérie 25,1340612,888253
2019,Chérie FM,376524,357088
2019,Chasse et pêche,1917493,262611
2019,Comédie+,1367232,694013
2019,D8/C8,1526740,648571
2019,Euronews,1488445,826640
2019,Europe 1,2083347,1410990
2019,Eurosport France,2305688,252167
2019,France 2,1403641,894336
2019,France 24,1341706,1234406
2019,France 3,1436585,804822
2019,France 5,1544202,917929
2019,France Bleu,1473454,873362
2019,France Culture,2357351,1257623
2019,France Info,2718496,1120455
2019,France Inter,2182146,1141413
2019,France Musique,589819,360779
2019,France O,1404961,838163
2019,Fun Radio,775558,420822
2019,Histoire,1709179,543951
2019,I-Télé/CNews,1841837,837630
2019,La chaîne Météo,2183053,346987
2019,LCI,1870422,842139
2019,LCP/Public Sénat,1789019,918346
2019,L'Equipe 21,2210432,368161
2019,M6,1237199,959699
2019,Monte Carlo TMC,1381865,678938
2019,MOUV,476537,137938
2019,Nostalgie,484845,278580
2019,NRJ,1037516,320473
2019,NRJ 12,1473426,668721
2019,Paris Première,1631579,567521
2019,Planète+,1819339,469197
2019,Radio Classique,700618,441804
2019,RFI,2500088,1182480
2019,RFM,523157,277101
2019,Rire et Chansons,2085027,718685
2019,RMC,3175063,665684
2019,RTL,2372593,1087597
2019,RTL 2,412367,347570
2019,Skyrock,1169448,204921
2019,Sud Radio,2410972,1159325
2019,TF1,1271012,919823
2019,Toute l'Histoire,1882028,429363
2019,TV Breizh,1375045,639776
2019,TV5 Monde,1535402,848455
2019,Virgin Radio,631754,248594
