ANNEE;channel_name;  male_duration ;  female_duration ;Propriétaire;adresse;;
2016;MOUV; 676 694 ; 320 761 ;;;;
2016;Nostalgie; 748 343 ; 481 719 ;;;;
2016;NRJ; 1 420 215 ; 529 194 ;;;;
2016;NRJ 12; 2 821 479 ; 1 448 634 ;;;;
2016;Paris PremiÃ¨re; 1 876 543 ; 545 368 ;;;;
2016;PlanÃ¨te+; 2 145 703 ; 435 923 ;;;;
2016;Radio Classique; 1 130 984 ; 642 432 ;;;;
2016;RFI; 3 490 405 ; 1 854 570 ;;;;
2016;RFM; 654 968 ; 332 059 ;;;;
2016;Rire et Chansons; 3 144 646 ; 1 144 369 ;;;;
2016;RMC; 4 642 658 ; 950 180 ;;;;
2016;RTL; 3 400 802 ; 1 325 342 ;;;;
2016;RTL 2; 581 090 ; 417 318 ;;;;
2016;Skyrock; 1 738 632 ; 293 536 ;;;;
2016;Sud Radio; 3 129 482 ; 1 466 465 ;;;;
2016;TÃ©va; 1 244 613 ; 1 317 935 ;;;;
2016;TF1; 2 872 105 ; 1 715 236 ;;;;
2016;Toute l'Histoire; 2 331 950 ; 524 647 ;;;;
2016;TV Breizh; 1 706 619 ; 806 979 ;;;;
2016;TV5 Monde; 1 951 500 ; 885 484 ;;;;
2016;Virgin Radio; 923 445 ; 335 049 ;;;;
2017;Animaux; 1 550 192 ; 937 349 ;;;;
2017;ARTE; 3 001 213 ; 1 277 691 ;;;;
2017;BFM TV; 3 299 401 ; 1 860 405 ;;;;
2017;Canal+; 3 154 239 ; 890 497 ;;;;
2017;Canal+ Sport; 2 827 837 ; 143 000 ;;;;
2017;ChÃ©rie 25; 2 548 900 ; 1 821 627 ;;;;
2017;ChÃ©rie FM; 603 424 ; 682 856 ;;;;
2017;Chasse et pÃªche; 2 198 354 ; 220 316 ;;;;
2017;ComÃ©die+; 1 979 891 ; 702 385 ;;;;
2017;D8/C8; 3 331 969 ; 1 250 913 ;;;;
2017;Euronews; 1 760 625 ; 812 667 ;;;;
2017;Europe 1; 3 672 951 ; 2 139 501 ;;;;
2017;Eurosport France; 4 679 731 ; 277 394 ;;;;
2017;France 2; 2 936 590 ; 1 681 791 ;;;;
2017;France 24; 2 907 331 ; 2 344 694 ;;;;
2017;France 3; 2 928 564 ; 1 576 308 ;;;;
2017;France 5; 3 100 398 ; 1 685 491 ;;;;
2017;France Bleu; 1 939 682 ; 1 240 762 ;;;;
2017;France Culture; 3 516 735 ; 1 898 476 ;;;;
2017;France Info; 4 255 074 ; 1 789 249 ;;;;
2017;France Inter; 3 462 330 ; 1 697 410 ;;;;
2017;France Musique; 939 586 ; 528 136 ;;;;
2017;France O; 2 881 288 ; 1 438 346 ;;;;
2017;Fun Radio; 1 175 760 ; 661 222 ;;;;
2017;Histoire; 3 429 669 ; 915 665 ;;;;
2017;I-TÃ©lÃ©/CNews; 4 110 239 ; 1 698 544 ;;;;
2017;La chaÃ®ne MÃ©tÃ©o; 2 250 442 ; 453 498 ;;;;
2017;LCI; 3 465 760 ; 1 646 961 ;;;;
2017;LCP/Public SÃ©nat; 3 584 742 ; 1 640 219 ;;;;
2017;L'Equipe 21; 4 438 813 ; 652 357 ;;;;
2017;M6; 2 426 742 ; 1 875 444 ;;;;
2017;Monte Carlo TMC; 2 882 344 ; 1 240 334 ;;;;
2017;MOUV; 800 872 ; 285 609 ;;;;
2017;Nostalgie; 683 452 ; 447 428 ;;;;
2017;NRJ; 1 522 709 ; 541 056 ;;;;
2017;NRJ 12; 2 722 861 ; 1 495 559 ;;;;
2017;Paris PremiÃ¨re; 1 795 471 ; 500 662 ;;;;
2017;PlanÃ¨te+; 2 168 659 ; 421 382 ;;;;
2017;Radio Classique; 1 251 131 ; 654 619 ;;;;
2017;RFI; 3 730 480 ; 1 924 682 ;;;;
2017;RFM; 710 345 ; 386 898 ;;;;
2017;Rire et Chansons; 3 367 886 ; 1 261 534 ;;;;
2017;RMC; 5 025 625 ; 1 007 353 ;;;;
2017;RTL; 3 713 322 ; 1 531 739 ;;;;
2017;RTL 2; 651 895 ; 496 730 ;;;;
2017;Skyrock; 1 786 659 ; 332 441 ;;;;
2017;Sud Radio; 3 773 661 ; 1 822 200 ;;;;
2017;TF1; 2 708 483 ; 1 667 832 ;;;;
2017;Toute l'Histoire; 2 160 917 ; 447 107 ;;;;
2017;TV Breizh; 1 559 034 ; 688 683 ;;;;
2017;TV5 Monde; 1 819 806 ; 812 771 ;;;;
2017;Virgin Radio; 1 164 216 ; 387 923 ;;;;
2018;Animaux; 1 475 340 ; 1 025 229 ;;;;
2018;ARTE; 3 644 717 ; 1 648 909 ;;;;
2018;BFM TV; 4 051 134 ; 2 378 788 ;;;;
2018;Canal+; 3 903 869 ; 1 132 417 ;;;;
2018;Canal+ Sport; 2 821 296 ; 152 801 ;;;;
2018;ChÃ©rie 25; 3 239 355 ; 2 158 110 ;;;;
2018;ChÃ©rie FM; 876 743 ; 955 190 ;;;;
2018;Chasse et pÃªche; 2 123 557 ; 283 406 ;;;;
2018;ComÃ©die+; 1 701 818 ; 673 933 ;;;;
2018;D8/C8; 3 344 682 ; 1 325 161 ;;;;
2018;Euronews; 1 739 715 ; 932 314 ;;;;
2018;Europe 1; 5 284 850 ; 3 400 503 ;;;;
2018;Eurosport France; 5 811 847 ; 345 910 ;;;;
2018;France 2; 3 637 346 ; 2 158 695 ;;;;
2018;France 24; 3 443 256 ; 2 932 039 ;;;;
2018;France 3; 3 577 804 ; 1 958 291 ;;;;
2018;France 5; 3 729 215 ; 2 106 030 ;;;;
2018;France Bleu; 3 309 778 ; 1 914 799 ;;;;
2018;France Culture; 5 405 513 ; 2 873 497 ;;;;
2018;France Info; 6 356 534 ; 2 754 391 ;;;;
2018;France Inter; 5 298 826 ; 2 777 497 ;;;;
2018;France Musique; 1 309 027 ; 741 329 ;;;;
2018;France O; 3 602 585 ; 1 948 950 ;;;;
2018;Fun Radio; 1 856 743 ; 1 006 428 ;;;;
2018;Histoire; 4 380 170 ; 1 392 884 ;;;;
2018;I-TÃ©lÃ©/CNews; 4 226 739 ; 1 848 872 ;;;;
2018;La chaÃ®ne MÃ©tÃ©o; 2 560 124 ; 423 789 ;;;;
2018;LCI; 4 462 926 ; 2 069 402 ;;;;
2018;LCP/Public SÃ©nat; 4 382 989 ; 2 294 151 ;;;;
2018;L'Equipe 21; 5 671 218 ; 842 674 ;;;;
2018;M6; 3 176 943 ; 2 319 156 ;;;;
2018;Monte Carlo TMC; 3 445 870 ; 1 598 118 ;;;;
2018;MOUV; 1 233 653 ; 363 318 ;;;;
2018;Nostalgie; 1 125 379 ; 669 486 ;;;;
2018;NRJ; 2 289 361 ; 788 176 ;;;;
2018;NRJ 12; 3 438 300 ; 1 877 137 ;;;;
2018;Paris PremiÃ¨re; 1 694 535 ; 526 530 ;;;;
2018;PlanÃ¨te+; 2 013 791 ; 475 149 ;;;;
2018;Radio Classique; 1 594 247 ; 910 651 ;;;;
2018;RFI; 6 046 376 ; 2 998 556 ;;;;
2018;RFM; 1 155 814 ; 617 332 ;;;;
2018;Rire et Chansons; 4 839 996 ; 1 719 466 ;;;;
2018;RMC; 7 935 539 ; 1 577 283 ;;;;
2018;RTL; 5 837 643 ; 2 459 175 ;;;;
2018;RTL 2; 1 015 121 ; 806 105 ;;;;
2018;Skyrock; 2 759 366 ; 506 528 ;;;;
2018;Sud Radio; 5 739 368 ; 2 801 082 ;;;;
2018;TF1; 3 258 465 ; 2 014 743 ;;;;
2018;Toute l'Histoire; 2 162 871 ; 473 006 ;;;;
2018;TV Breizh; 1 519 168 ; 711 319 ;;;;
2018;TV5 Monde; 1 726 992 ; 933 227 ;;;;
2018;Virgin Radio; 1 849 363 ; 590 290 ;;;;
2019;Animaux; 1 310 231 ; 821 350 ;;;;
2019;ARTE; 1 448 996 ; 707 776 ;;;;
2019;BFM TV; 1 749 685 ; 910 678 ;;;;
2019;Canal+; 1 628 037 ; 478 149 ;;;;
2019;Canal+ Sport; 2 507 609 ; 135 782 ;;;;
2019;ChÃ©rie 25; 1 340 612 ; 888 253 ;;;;
2019;ChÃ©rie FM; 376 524 ; 357 088 ;;;;
2019;Chasse et pÃªche; 1 917 493 ; 262 611 ;;;;
2019;ComÃ©die+; 1 367 232 ; 694 013 ;;;;
2019;D8/C8; 1 526 740 ; 648 571 ;;;;
2019;Euronews; 1 488 445 ; 826 640 ;;;;
2019;Europe 1; 2 083 347 ; 1 410 990 ;;;;
2019;Eurosport France; 2 305 688 ; 252 167 ;;;;
2019;France 2; 1 403 641 ; 894 336 ;;;;
2019;France 24; 1 341 706 ; 1 234 406 ;;;;
2019;France 3; 1 436 585 ; 804 822 ;;;;
2019;France 5; 1 544 202 ; 917 929 ;;;;
2019;France Bleu; 1 473 454 ; 873 362 ;;;;
2019;France Culture; 2 357 351 ; 1 257 623 ;;;;
2019;France Info; 2 718 496 ; 1 120 455 ;;;;
2019;France Inter; 2 182 146 ; 1 141 413 ;;;;
2019;France Musique; 589 819 ; 360 779 ;;;;
2019;France O; 1 404 961 ; 838 163 ;;;;
2019;Fun Radio; 775 558 ; 420 822 ;;;;
2019;Histoire; 1 709 179 ; 543 951 ;;;;
2019;I-TÃ©lÃ©/CNews; 1 841 837 ; 837 630 ;;;;
2019;La chaÃ®ne MÃ©tÃ©o; 2 183 053 ; 346 987 ;;;;
2019;LCI; 1 870 422 ; 842 139 ;;;;
2019;LCP/Public SÃ©nat; 1 789 019 ; 918 346 ;;;;
2019;L'Equipe 21; 2 210 432 ; 368 161 ;;;;
2019;M6; 1 237 199 ; 959 699 ;;;;
2019;Monte Carlo TMC; 1 381 865 ; 678 938 ;;;;
2019;MOUV; 476 537 ; 137 938 ;;;;
2019;Nostalgie; 484 845 ; 278 580 ;;;;
2019;NRJ; 1 037 516 ; 320 473 ;;;;
2019;NRJ 12; 1 473 426 ; 668 721 ;;;;
2019;Paris PremiÃ¨re; 1 631 579 ; 567 521 ;;;;
2019;PlanÃ¨te+; 1 819 339 ; 469 197 ;;;;
2019;Radio Classique; 700 618 ; 441 804 ;;;;
2019;RFI; 2 500 088 ; 1 182 480 ;;;;
2019;RFM; 523 157 ; 277 101 ;;;;
2019;Rire et Chansons; 2 085 027 ; 718 685 ;;;;
2019;RMC; 3 175 063 ; 665 684 ;;;;
2019;RTL; 2 372 593 ; 1 087 597 ;;;;
2019;RTL 2; 412 367 ; 347 570 ;;;;
2019;Skyrock; 1 169 448 ; 204 921 ;;;;
2019;Sud Radio; 2 410 972 ; 1 159 325 ;;;;
2019;TF1; 1 271 012 ; 919 823 ;;;;
2019;Toute l'Histoire; 1 882 028 ; 429 363 ;;;;
2019;TV Breizh; 1 375 045 ; 639 776 ;;;;
2019;TV5 Monde; 1 535 402 ; 848 455 ;;;;
2019;Virgin Radio; 631 754 ; 248 594 ;;;;
